Language,Phonemes
Pichi,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 's', 't', 't̠ʃ', 'v', 'w', 'ŋ', 'ɡ', 'ɲ', 'ʁ', 'ʃ', '˦', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
Jita,"['d', 'd̠ʒ', 'f', 'k', 'l', 'm', 'mb', 'n', 'nd', 'p', 's', 't', 't̠ʃ', 'ŋɡ', 'ɡ', 'ɲɟ', 'β', '˦', '˨', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Dime,"['b', 'bː', 'd', 'dː', 'd̠ʒ', 'f', 'fː', 'h', 'j', 'jː', 'k', 'kʼ', 'kʼː', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'p', 'pʼ', 'pʼː', 'pː', 's', 'sː', 't', 'ts', 'tʼ', 'tʼː', 'tː', 't̠ʃ', 't̠ʃʼ', 't̠ʃʼː', 't̠ʃː', 'w', 'wː', 'x', 'z', 'zː', 'ŋ', 'ɗ', 'ɡ', 'ɡː', 'ɣ', 'ɾ', 'ʁ', 'ʃ', 'ʃː', 'ʒ', 'ʒː', 'ʔ', 'χ', '˦', '˨', 'a', 'ai', 'aː', 'e', 'ei', 'eː', 'i', 'iː', 'o', 'oi', 'oː', 'u', 'ui', 'uː', 'ɔ', 'ə', 'ɛ', 'ɨ']"
Lutsootso,"['f', 'h', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 'ts', 't̠ʃ', 'x', 'ç', 'ŋ', 'ɲ', 'ɺ', 'ʃ', 'β', '˦', '˨', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
"Jamsay, Dogon","['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'j̃', 'kʰ', 'l', 'm', 'n', 'pʰ', 'r', 'r̃', 's', 'tʰ', 't̠ʃ', 'w', 'w̃', 'ŋ', 'ɡ', 'ɲ', 'ʃ', 'ʔ', '˦', '˨', 'a', 'aː', 'ãː', 'e', 'eː', 'ẽː', 'i', 'iː', 'ĩː', 'o', 'oː', 'õː', 'u', 'uː', 'ũː', 'ɔ', 'ɔː', 'ɔ̃ː', 'ɛ', 'ɛː', 'ɛ̃ː']"
Kikamba,"['j', 'k', 'l', 'm', 'n', 's', 't', 'w', 'ð', 'ŋ', 'ɥ', 'ɲ', 'β', '˥', '˦', '˨', '˩', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɔ', 'ɔː', 'ɛ', 'ɛː']"
Bafia,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kp', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̠ʃ', 'v', 'w', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɡ', 'ɡb', 'ɣ', 'ɲ', 'ʔ', '˦', '˦˨', '˨', '˨˦', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɔ', 'ɔː', 'ə', 'əː', 'ɛ', 'ɛː', 'ɜ', 'ɜː', 'ɨ', 'ɨː']"
Lango,"['b', 'd', 'd̠ʒ', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't̠ʃ', 't̪', 'w', 'z', 'ŋ', 'ɡ', 'ɲ', '˦', '˨', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'æ', 'æː', 'ɔ', 'ɔː', 'ɛ', 'ɛː', 'ɪ', 'ɪː', 'ʊ', 'ʊː', 'dʑ', 't', 'tɕ', 'ɾ', '˦˨', '˦↓˦', '˨˦', '↓˦', 'ə']"
Olukisa,"['f', 'h', 'j', 'k', 'l', 'm', 'mb', 'n', 'nd', 'nz', 'n̠d̠ʒ', 'p', 'r', 's', 't', 'ts', 't̠ʃ', 'w', 'x', 'ŋ', 'ŋɡ', 'ɲ', 'ʃ', 'β', '˦', '˦˨', '˨', '˨˦', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Nyole,"['b', 'd', 'd̠ʒ', 'j', 'k', 'l', 'm', 'mb', 'n', 'nd', 'n̠d̠ʒ', 'p', 'r', 's', 't', 't̠ʃ', 'w', 'x', 'ŋ', 'ŋɡ', 'ɡ', 'ɲ', 'ɸ', 'β', '˦', '˨', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Kimwani,"['b', 'd', 'd̠ʒ', 'f', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̠ʃ', 'v', 'w', 'z', 'ŋɡ', 'ɡ', 'ɲ', 'ʃ', 'a', 'e', 'i', 'o', 'u']"
Shekgalagari,"['b', 'c', 'cʰ', 'cʷ', 'cʷʰ', 'd', 'd̠ʒ', 'h', 'j', 'k', 'kǀ', 'kʘ', 'kʰ', 'l', 'm', 'n', 'p', 'pʰ', 'q', 'qʰ', 'r', 's', 't', 'ts', 'tsʰ', 'tsʷ', 'tsʷʰ', 'tʰ', 't̠ʃ', 't̠ʃʰ', 't̠ʃʷ', 't̠ʃʷʰ', 'w', 'z', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'ʃ', 'ʃʷ', 'ʒ', 'ʒʷ', 'χ', '˦', '˨', 'a', 'e', 'i', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
Tigemaxo Bozo,"['b', 'd', 'f', 'h', 'j', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 'w', 'x', 'ŋ', 'ɟ', 'ɡ', 'ɲ', 'ɾ', '˦', '˧', '˨', 'a', 'ã', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃']"
Alaaba,"['b', 'bː', 'd', 'dː', 'd̠ʒ', 'd̠ʒː', 'f', 'fː', 'h', 'hː', 'j', 'jː', 'k', 'kʼ', 'kʼː', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'p', 'pʼ', 'pʼː', 'pː', 'r', 'rː', 's', 'sː', 't', 'tʼ', 'tʼː', 'tː', 't̠ʃ', 't̠ʃʼ', 't̠ʃʼː', 't̠ʃː', 'wː', 'z', 'zː', 'ɡ', 'ɡː', 'ɰ', 'ɲ', 'ɲː', 'ʃ', 'ʃː', 'ʒ', 'ʒː', 'ʔ', 'ʔː', 'a', 'aː', 'iː', 'uː', 'ɔ', 'ɔː', 'ɛ', 'ɛː', 'ɪ', 'ʊ']"
Degema,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'kp', 'l', 'm', 'n', 'p', 'r', 's', 't', 'w', 'ŋ', 'ŋʷ', 'ɓ', 'ɗ', 'ɡ', 'ɡb', 'ɲ', 'β', '˦', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ə', 'ɛ', 'ɪ', 'ʊ']"
Basari,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kp', 'kʰ', 'l', 'm', 'n', 'pʰ', 's', 'tʰ', 't̠ʃʰ', 'w', 'ŋ', 'ŋm', 'ɡ', 'ɡb', 'ɲ', '˦', '˧', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ']"
Principense,"['f', 'j', 'k', 'kp', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̠ʃ', 'v', 'w', 'z', 'ɓ', 'ɗ', 'ɡ', 'ɡb', 'ɲ', 'ʎ', 'ʒ', '˦', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
Nkonya,"['b', 'f', 'j', 'k', 'kp', 'l', 'm', 'n', 'nʷ', 'p', 's', 't', 'ts', 'w', 'ŋ', 'ɖ', 'ɟ', 'ɦ', 'ɲ', 'ʝ', 'e', 'ẽ', 'i', 'ĩ', 'o', 'õ', 'u', 'ũ', 'ɑ', 'ɑ̃', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃']"
Soddo,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ʌ']"
Goggot,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ʌ']"
Masqan,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ʌ']"
Muher,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ɔ', 'ʌ']"
Ezha,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'ʌ']"
Chaha,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'p', 'pʷ', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ʃ', 'ʒ', 'β', 'a', 'e', 'i', 'o', 'u', 'œ', 'ɔ', 'ʌ']"
Gumer,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'p', 'pʷ', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ʃ', 'ʒ', 'a', 'e', 'i', 'o', 'u', 'œ', 'ʌ']"
Gura,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'p', 'pʷ', 'r', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ʃ', 'ʒ', 'β', 'a', 'e', 'i', 'o', 'u', 'ʌ']"
Gyeto,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'p', 'pʷ', 'r', 'r̃', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'w̃', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ʃ', 'ʒ', 'β', 'β̃', 'a', 'e', 'i', 'o', 'u', 'ʌ']"
Ennemor,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 'r̃', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'w̃', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'ʔ', 'ʔʷ', 'β', 'β̃', 'a', 'e', 'i', 'o', 'u', 'œ', 'ʌ']"
Endegen,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 'r̃', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'w̃', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'ʔ', 'ʔʷ', 'β̃', 'a', 'e', 'i', 'o', 'u', 'ʌ']"
Ener,"['b', 'bʷ', 'd', 'f', 'fʷ', 'h', 'hʲ', 'hʷ', 'j', 'k', 'kʲ', 'kʲʼ', 'kʷ', 'kʷʼ', 'kʼ', 'l', 'm', 'mʷ', 'n', 'r', 'r̃', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'w̃', 'z', 'ɡ', 'ɡʲ', 'ɡʷ', 'ɣ', 'ɲ', 'ʃ', 'ʒ', 'ʔ', 'ʔʷ', 'β̃', 'a', 'e', 'i', 'o', 'u', 'ʌ']"
Dzuungoo,"['b', 'c', 'd', 'dz', 'f', 'j', 'k', 'kp', 'l', 'm', 'n', 'p', 's', 't', 'ts', 'v', 'w', 'x', 'ŋ', 'ŋm', 'ɟ', 'ɡ', 'ɡb', 'ɲ', 'ʃ', 'ʒ', '˦', '˧', '˨', 'a', 'aː', 'ã', 'ãː', 'e', 'eː', 'ẽː', 'i', 'iː', 'ĩ', 'ĩː', 'o', 'oː', 'õː', 'u', 'uː', 'ũ', 'ũː', 'ɔ', 'ɔː', 'ɔ̃', 'ɔ̃ː', 'ɛ', 'ɛː', 'ɛ̃', 'ɛ̃ː']"
Bagirmi,"['b', 'c', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n̪', 'p', 'r', 's', 't̪', 'v', 'w', 'z', 'ŋ', 'ɓ', 'ɖ', 'ɟ', 'ɡ', 'ɲ', 'ɸ', 'ʃ', 'ʄ', 'ʈ', 'ʔ', 'ᶑ', '˦', '˧', '˨', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɔ', 'ɘ', 'ɛ', 'ɪ', 'ʊ', 'ʌ']"
Ngiti,"['b', 'bv', 'c', 'd', 'dz', 'f', 'h', 'j', 'k', 'kp', 'l', 'm', 'mb', 'n', 'nd', 'nz', 'p', 'pf', 'r', 's', 't', 'ts', 'v', 'w', 'z', 'ŋmɡb', 'ŋɡ', 'ɓ', 'ɓ̥', 'ɖɽ', 'ɗ', 'ɗ̥', 'ɟ', 'ɡ', 'ɡb', 'ɱv', 'ɲ', 'ɲɟ', 'ɳɖɽ', 'ʄ', 'ʄ̥', 'ʈɽ', 'ʔ', 'β', '˦', '˦˨', '˧', '˧˨', '˨', '˨˥˩', '˨˧', 'a', 'e', 'i', 'o', 'u']"
Chindali,"['f', 'h', 'j', 'k', 'l', 'm', 'n', 's', 't̠ʃ', 'w', 'z', 'ŋ', 'ɡ', 'ɣ', 'ɲ', 'ʃ', 'ʋ', '˦', '˦˨', '˨', '˨˦', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Me'en,"['b', 'cç', 'cçʼ', 'd', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'r', 's', 't', 'tʼ', 'w', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɟʝ', 'ɡ', 'ɲ', 'ʃ', 'ʔ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː', 'ɔ', 'ɔː', 'ɛ', 'ɛː']"
Ongamo,"['d̪', 'h', 'j', 'jː', 'k', 'l̪', 'm', 'n̪', 'p', 'r̪', 'r̪ː', 's̪', 't̪', 'w', 'wː', 'ŋ', 'ɓ', 'ɡ', 'ɲ', 'ɽ', 'ʃ', 'ʄ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
Mbay,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'l', 'm', 'mb', 'n', 'nd', 'n̠d̠ʒ', 'p', 'r', 's', 't', 'w', 'ŋɡ', 'ɓ', 'ɗ', 'ɡ', 'ɺ', '˦', '˧', '˨', 'a', 'aː', 'ã', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩ', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ɔ', 'ɔː', 'ə', 'əː']"
Gumuz,"['b', 'cç', 'cçʼ', 'd', 'f', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 'r', 's', 't', 'ts', 'tsʼ', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ŋ', 'ɓ', 'ɟʝ', 'ɠ', 'ɡ', 'ɲ', 'ʃ', 'ʒ', 'ʔ', 'ᶑ', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Soo,"['j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̠ʃ', 'w', 'ŋ', 'ɓ', 'ɗ', 'ɠ', 'ɲ', 'ʄ', 'ʔ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ', 'ʌ']"
Gimira,"['b', 'bʲ', 'bʷ', 'd', 'dʲ', 'h', 'j', 'k', 'kʲ', 'kʲʼ', 'kʼ', 'l', 'm', 'mʲ', 'n', 'nʲ', 'pʰ', 'pʲ', 'pʷ', 'pʼ', 'r', 's', 'sʲ', 'sʷ', 't', 'ts', 'tsʼ', 'tʲ', 'tʲʼ', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'z', 'zʲ', 'ɡ', 'ɡʲ', 'ɡʷ', 'ʂ', 'ʃ', 'ʈʂ', 'ʈʂʼ', 'ʐ', 'ʒ', 'ʔ', 'ʔʲ', 'ʔʷ', '˥', '˦', '˧', '˨', '˩', 'a', 'e', 'i', 'o', 'u']"
Bench,"['b', 'cç', 'cçʼ', 'd', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 'r', 's', 't', 'ts', 'tsʼ', 'tʼ', 'w', 'z', 'ɡ', 'ʂ', 'ʃ', 'ʈʂ', 'ʈʂʼ', 'ʐ', 'ʒ', 'ʔ', '˥', '˦', '˧', '˧˨', '˨', '˨˧', 'a', 'e', 'i', 'o', 'u']"
Yemsa,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 's', 't', 'tʼ', 't̠ʃ', 't̠ʃʼ', 'w', 'z', 'ŋ', 'ɡ', 'ɲ', 'ɾ', 'ʃ', 'ʔ', '˦', '˧', '˨', '˨˧', '˩˥', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Zayse,"['b', 'dz', 'd̠ʒ', 'd̪', 'h', 'j', 'kʰ', 'kʼ', 'l', 'm', 'n', 'pʰ', 'r', 's', 'tsʰ', 'tsʼ', 't̠ʃʰ', 't̠ʃʼ', 't̪ʰ', 'w', 'z', 'ɓ', 'ɗ', 'ɡ', 'ʃ', 'ʒ', 'ʔ', 'a', 'e', 'i', 'o', 'u']"
Gamo,"['b', 'd̠ʒ', 'd̪', 'f', 'h', 'j', 'kʰ', 'kʼ', 'l', 'm', 'n', 'pʰ', 's', 'tsʰ', 'tsʼ', 't̠ʃʰ', 't̠ʃʼ', 't̪ʰ', 'w', 'z', 'ɓ̥', 'ɗ', 'ɡ', 'ɾ', 'ʃ', 'ʔ', 'a', 'aː', 'i̞', 'i̞ː', 'u̞', 'u̞ː', 'ɔ̝', 'ɔ̝ː', 'ɛ̝', 'ɛ̝ː']"
Koorete,"['b', 'bː', 'd', 'dz', 'dzː', 'dː', 'd̠ʒ', 'd̠ʒː', 'h', 'j', 'jː', 'kʰ', 'kʼ', 'kʼː', 'kː', 'l', 'lː', 'm', 'mː', 'n', 'nː', 'pʼ', 's', 'sː', 'tsʰ', 'tsʼ', 'tsʼː', 'tsː', 'tʰ', 'tʼ', 't̠ʃʰ', 't̠ʃʼ', 't̠ʃʼː', 't̠ʃː', 'w', 'z', 'zː', 'ŋ', 'ŋː', 'ɓ', 'ɗ', 'ɡ', 'ɡː', 'ɸʰ', 'ɸː', 'ɾ', 'ʃ', 'ʃː', 'ʒ', 'ʒː', 'ʔ', 'a', 'aː', 'i', 'iː', 'u', 'uː', 'ɔ', 'ɔː', 'ɛ', 'ɛː']"
Aari,"['b', 'd̠ʒ', 'd̪', 'f', 'j', 'k', 'l', 'm', 'n', 'q', 'r', 's', 'ts', 'tsʼ', 't̠ʃ', 't̠ʃʼ', 't̪', 'w', 'z', 'ɓ̥', 'ɗ', 'ɡ', 'ɦ', 'ʃ', 'ʒ', 'ʔ', 'a', 'aː', 'e̞ː', 'iː', 'i̞', 'o̞ː', 'u', 'uː', 'ɔ̝', 'ɛ']"
Twampa,"['b', 'd', 'd̠ʒ', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 'r', 's', 't', 'tʼ', 't̠ʃʼ', 'w', 'ɓ', 'ɗ', 'ɡ', 'ʃ', 'ʔ', 'a', 'e', 'i', 'o', 'u']"
Opo,"['d', 'd̠ʒ', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'r', 's', 't', 'tʼ', 't̠ʃʼ', 'w', 'ɓ', 'ɡ', 'ʃ', 'ʔ', 'a', 'e', 'i', 'o', 'u']"
Kwama,"['b', 'd', 'h', 'j', 'k', 'kʼ', 'l', 'm', 'n', 'p', 'pʼ', 'r', 's', 'sʼ', 't', 'tʼ', 'w', 'ɡ', 'ʃ', 'ʔ', 'a', 'e', 'i', 'o', 'u']"
Mayogo,"['b', 'd', 'd̠ʒ', 'f', 'j', 'k', 'kp', 'l', 'm', 'mb', 'n', 'nd', 'n̠d̠ʒ', 'p', 'r', 's', 't', 't̠ʃ', 'v', 'w', 'x', 'z', 'ŋmɡb', 'ŋɡ', 'ɓ', 'ɗ', 'ɗʲ', 'ɡ', 'ɡb', 'ɦ', 'ɱv', 'ɲ', 'ʔ', '˦', '˧', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɨ', 'ɪ', 'ʊ']"
Lusaamia,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'r', 's', 't', 't̠ʃ', 'w', 'x', 'ŋ', 'ɡ', 'ɲ', 'β', '˦', '˦˨', '˨', '˨˦', 'a', 'aː', 'e', 'eː', 'i', 'iː', 'o', 'oː', 'u', 'uː']"
Nouni,"['b', 'bʷ', 'c', 'cʷ', 'd', 'dʷ', 'f', 'fʷ', 'h', 'j', 'jʷ', 'k', 'kʷ', 'l', 'lʷ', 'm', 'mʷ', 'n', 'p', 'pʷ', 's', 'sʷ', 't', 'tʷ', 'v', 'vʷ', 'w', 'z', 'zʷ', 'ŋ', 'ŋʷ', 'ɟ', 'ɟʷ', 'ɡ', 'ɡʷ', 'ɲ', 'ɲʷ', 'ɹ', '˦', '˧', '˨', '˨˦', 'a', 'ã', 'e', 'i', 'ĩ', 'o', 'u', 'ũ', 'ɔ', 'ə', 'ə̃', 'ɛ', 'ɛ̃', 'ɪ', 'ɪ̃', 'ʉ', 'ʊ', 'ʊ̃']"
Ndebele,"['b', 'd', 'd̠ʒ', 'f', 'h', 'j', 'kx', 'kǀ', 'kǀʰ', 'kǁ', 'kǁʰ', 'kǃ', 'kǃʰ', 'kʰ', 'kʼ', 'l', 'm', 'mb', 'mp', 'n', 'nd', 'ns', 'nt', 'ntsʼ', 'nz', 'nɬ', 'nɮ', 'n̠d̠ʒ', 'n̠t̠ʃʼ', 'pʰ', 'pʼ', 's', 'tsʰ', 'tsʼ', 'tʰ', 'tʼ', 't̠ʃʰ', 't̠ʃʼ', 'v', 'w', 'z', 'ŋ', 'ŋk', 'ŋkx', 'ŋǀ', 'ŋǁ', 'ŋǃ', 'ŋɡ', 'ɡ', 'ɡǀ', 'ɡǁ', 'ɡǃ', 'ɣ', 'ɦ', 'ɬ', 'ɮ', 'ɱf', 'ɱv', 'ɲ', 'ʒ', 'β', '˦', '˨', 'e', 'i', 'o', 'u', 'ɑ']"
"Saxwe, Gbe","['b', 'd̠ʒ', 'd̪', 'f', 'j', 'k', 'kp', 'm', 's', 't̠ʃ', 't̪', 'v', 'w', 'x', 'xʷ', 'z', 'ɖ', 'ɡ', 'ɡb', 'ɦ', 'ɦʷ', 'ɭ', 'ɲ', 'ɳ', '˦', '˨', 'a', 'ã', 'e', 'i', 'ĩ', 'o', 'u', 'ũ', 'ɔ', 'ɔ̃', 'ɛ', 'ɛ̃']"
Laarim,"['b', 'c', 'd̪', 'h', 'j', 'k', 'kʷ', 'l', 'm', 'n', 'p', 'r', 't̪', 'v', 'w', 'ð', 'ŋ', 'ɖ', 'ɟ', 'ɡ', 'ɡʷ', 'ɲ', '˦', '˦˨', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ', 'ɪ', 'ʊ']"
Bijogo,"['b', 'd', 'j', 'k', 'kp', 'm', 'n', 'p', 'r', 's', 't', 'w', 'ŋ', 'ɟ', 'ɡ', 'ɡb', 'ɲ', 'ʈ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
Dompo,"['b', 'c', 'd', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 'v', 'w', 'z', 'ŋ', 'ɟ', 'ɡ', 'ʃ', 'ʒ', '˦', '˨', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɛ']"
Bamana,"['b', 'bʷ', 'c', 'd', 'f', 'fʷ', 'h', 'j', 'k', 'kʷ', 'l', 'm', 'mp', 'mpʲ', 'mʲ', 'nt', 'p', 'r', 's', 't', 'v', 'w', 'z', 'ŋ', 'ŋk', 'ŋʷ', 'ɟ', 'ɡ', 'ɡʷ', 'ɲ', 'ɲc', 'ɲʷ', '˦', '˨', 'a', 'aː', 'ã', 'ãː', 'e', 'eː', 'ẽ', 'i', 'iː', 'ĩ', 'o', 'oː', 'õ', 'u', 'uː', 'ũ', 'ũː', 'ɔ', 'ɔː', 'ɔ̃', 'ɔ̃ː', 'ɛ', 'ɛː', 'ɛ̃']"
Heiban,"['b', 'c', 'd', 'd̪', 'f', 'h', 'j', 'k', 'l', 'm', 'n', 'p', 'r', 's', 't', 't̪', 'v', 'w', 'x', 'z', 'ŋ', 'ɓ', 'ɗ', 'ɟ', 'ɡ', 'ɲ', 'ɽ', 'a', 'e', 'i', 'o', 'u', 'ɔ', 'ɘ']"
